,frame,keypoint,x,y,z
0,0,left_0000,,,
1,0,left_0001,,,
2,0,left_0002,,,
3,0,left_0003,,,
4,0,left_0004,,,
5,0,left_0005,,,
6,0,left_0006,,,
7,0,left_0007,,,
8,0,left_0008,,,
9,0,left_0009,,,
10,0,left_0010,,,
11,0,left_0011,,,
12,0,left_0012,,,
13,0,left_0013,,,
14,0,left_0014,,,
15,0,left_0015,,,
16,0,left_0016,,,
17,0,left_0017,,,
18,0,left_0018,,,
19,0,left_0019,,,
20,0,left_0020,,,
21,1,left_0000,-626.4932757829241,-215.08416815981016,1511.2866250782647
22,1,left_0001,-644.3478557382316,-184.7223605171349,1535.1712990749215
23,1,left_0002,-662.2103021370921,-157.71673571592908,1561.930927879589
24,1,left_0003,-674.5606641875012,-137.70146430138752,1593.1300353117338
25,1,left_0004,-680.6346759733885,-120.60888799723129,1619.7731581482267
26,1,left_0005,-611.6871917088921,-123.78907645785986,1613.41164339493
27,1,left_0006,-625.095385931206,-100.03443093258286,1651.6588103494294
28,1,left_0007,-663.9535721675156,-99.96431170049603,1631.4809160261498
29,1,left_0008,-696.6551125810774,-104.39153521414224,1607.278221054093
30,1,left_0009,-607.9092765268452,-130.08444404504507,1611.901822861613
31,1,left_0010,-623.1600393893139,-108.3055451683212,1643.0206235145888
32,1,left_0011,-662.2469096359315,-108.57280952025826,1620.753203816506
33,1,left_0012,-698.9285696381717,-110.64135827919276,1594.685020824055
34,1,left_0013,-613.5067760749077,-139.28092432185338,1604.3400646046725
35,1,left_0014,-627.4750522410081,-119.24198482319152,1628.916671952784
36,1,left_0015,-662.7321752732624,-118.26273398550657,1607.439402019095
37,1,left_0016,-696.9115268223735,-120.09787810461468,1581.0380696118746
38,1,left_0017,-624.8887568429162,-149.990801017421,1595.009523218291
39,1,left_0018,-644.9006801671641,-129.7245201431875,1606.6801022604332
40,1,left_0019,-675.5709230805454,-127.00094461172519,1590.4272334269533
41,1,left_0020,-704.5712112179723,-128.5869591690221,1569.6260174536014
42,2,left_0000,-611.082864935884,-185.55741877140778,1497.428259025318
43,2,left_0001,-629.876951494192,-161.06578463240217,1527.6053961503942
44,2,left_0002,-648.2969420870015,-134.74281474827004,1555.848559550549
45,2,left_0003,-658.2758870813627,-113.87104218581045,1585.9709049322469
46,2,left_0004,-664.8603017903973,-93.66030817357529,1610.0711831820095
47,2,left_0005,-603.0196381855253,-97.64446018354153,1591.6315790106428
48,2,left_0006,-626.0381206062185,-78.69367178942944,1619.7889473910998
49,2,left_0007,-647.9018161985313,-74.87903356409232,1625.2835194767563
50,2,left_0008,-664.2319221158773,-73.98820382439511,1623.8195102222903
51,2,left_0009,-595.683466367962,-101.72892042325792,1592.1533629709313
52,2,left_0010,-613.637595432722,-83.06217536254418,1621.1420027292825
53,2,left_0011,-637.8319184248293,-80.43790261183554,1623.1489182806295
54,2,left_0012,-658.8772562646456,-78.9257681067073,1621.2684051075275
55,2,left_0013,-596.3240894844108,-108.91545423567757,1588.5859515168472
56,2,left_0014,-612.9661427228383,-91.4463659859717,1613.0153328883548
57,2,left_0015,-636.1642895392248,-87.60138195886056,1612.5994217585271
58,2,left_0016,-657.0375603331958,-86.06244266641966,1607.7307230801835
59,2,left_0017,-600.6646889688153,-118.86500727621313,1586.7397031099927
60,2,left_0018,-620.039875565024,-100.4397742574166,1603.7423257063624
61,2,left_0019,-643.5842608301058,-95.5734283432497,1602.7522281598283
62,2,left_0020,-663.615477489132,-94.14130156626047,1597.010245751931
63,3,left_0000,-599.222032269001,-153.0413725726896,1486.424801962652
64,3,left_0001,-622.5480967549366,-134.11601708002576,1513.075195415318
65,3,left_0002,-643.7205627095464,-109.69114299408932,1537.2592409665638
66,3,left_0003,-657.614002468412,-88.63802088213782,1560.1661705232486
67,3,left_0004,-660.6075083859779,-69.05200445166888,1584.4623472898284
68,3,left_0005,-605.0133197479433,-64.39768818024231,1556.2101994568447
69,3,left_0006,-631.8752398603372,-44.976617074359716,1583.915649126847
70,3,left_0007,-636.5664857131667,-43.49178553643097,1609.7560361845935
71,3,left_0008,-632.7359347312134,-44.62570423620915,1632.295324736818
72,3,left_0009,-592.8986257532904,-65.0792686528592,1562.7498545575265
73,3,left_0010,-613.218361561545,-45.485805227349765,1593.2774290790703
74,3,left_0011,-623.0985174625403,-43.15082196697169,1614.013833094644
75,3,left_0012,-624.5425091142808,-42.14676331781834,1636.6177551945768
76,3,left_0013,-586.8082677766454,-70.38450299464634,1568.4573352986156
77,3,left_0014,-605.0219351765627,-51.6989573126824,1595.250794319722
78,3,left_0015,-613.4281477032841,-46.685426670532465,1614.5670770829202
79,3,left_0016,-613.2987845709443,-44.70669682040799,1636.0636383437325
80,3,left_0017,-586.0727174953404,-78.77360478952299,1574.0839219955885
81,3,left_0018,-602.5671125080611,-58.94254646808555,1597.7874232655583
82,3,left_0019,-613.2634857722937,-52.25580967894363,1613.732470920983
83,3,left_0020,-614.9435643115926,-49.121826838360356,1630.9911482909238
84,4,left_0000,-589.4627342597497,-118.38567930779502,1476.7380445373205
85,4,left_0001,-617.9362139078786,-104.34467695437503,1498.1579790647672
86,4,left_0002,-643.4614348801568,-81.29975062988478,1517.9861405647757
87,4,left_0003,-652.677320085885,-59.69016380611175,1544.2439756347228
88,4,left_0004,-658.1667394971973,-43.35551683480768,1566.2859083054552
89,4,left_0005,-614.6794501300864,-35.1432557488828,1527.0419148206272
90,4,left_0006,-638.3722039142531,-16.253518339720628,1558.4987920157473
91,4,left_0007,-638.426637573005,-15.704934649063656,1586.8873832255756
92,4,left_0008,-630.8117486664588,-18.009439920688404,1610.6875288608546
93,4,left_0009,-591.8148649326886,-32.05267822419583,1539.6265868965875
94,4,left_0010,-612.004340436055,-15.019754050830244,1570.9097610138788
95,4,left_0011,-616.8667347366826,-15.186991593999492,1594.409469161422
96,4,left_0012,-614.0531085909676,-16.41399818849902,1617.627253972386
97,4,left_0013,-573.499715830279,-34.639776912989085,1552.7536126157574
98,4,left_0014,-591.3148108760618,-18.41886064708082,1580.841780549204
99,4,left_0015,-596.711110181615,-16.054871344394638,1601.8662545965487
100,4,left_0016,-595.516430022373,-15.943019737497744,1622.4966444008558
101,4,left_0017,-562.1944600060341,-40.688691702914625,1564.5425596549248
102,4,left_0018,-574.8553792904811,-22.230886732782086,1591.2944523293681
103,4,left_0019,-580.9769263203627,-17.80670421943626,1609.8239944868794
104,4,left_0020,-580.0799193136794,-16.802465327056705,1627.5692603261632
105,5,left_0000,-586.5406209001023,-90.38233655311451,1463.3866982572326
106,5,left_0001,-615.1743259112507,-80.72427055309547,1486.855721216006
107,5,left_0002,-637.8875781356794,-57.30278228496038,1507.6080057869212
108,5,left_0003,-645.4548957948247,-34.12918761476508,1531.7468650246783
109,5,left_0004,-653.416666601807,-17.04047011051412,1549.2543342321244
